"EDID","Candidate","Party EN","Party FR","Candidate Residence","Candidate Occupation","Votes Obtained","Percentage of Votes Obtained","Majority","Majority Percentage"
59008,"Brad Rhodes","CAP","PAC","Victoria, B.C./C.-B.","Small Business Owner",130,0.22,,
59009,"Nina Grewal","Conservative","Conservateur","Surrey, B.C./C.-B.","Parliamentarian",21389,44.7,8887,18.6
59009,"Brenda Locke","Liberal","Libéral","Surrey, B.C./C.-B.","Executive Director",12502,26.13,,
59009,"Nao Fernando","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Surrey, B.C./C.-B.","Employment Relations Officer",10916,22.81,,
59009,"Brian Newbold","Green Party","Parti Vert","Surrey, B.C./C.-B.","Education Coordinator",3045,6.36,,
59010,"Cathy McLeod","Conservative","Conservateur","Kamloops, B.C./C.-B.","Health Care Management",25209,46.16,5608,10.3
59010,"Michael Crawford","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Kamloops, B.C./C.-B.","Assistant Professor of Social Work",19601,35.89,,
59010,"Ken Sommerfeld","Liberal","Libéral","Kamloops, B.C./C.-B.","Lawyer",5375,9.84,,
59010,"Donovan Grube Cavers","Green Party","Parti Vert","Kamloops, B.C./C.-B.","Organic Farmer, Chef",4430,8.11,,
59011,"Ron Cannan","Conservative","Conservateur","Kelowna, B.C./C.-B.","Parliamentarian",31907,55.94,23283,40.8
59011,"Tish Lakes","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Kelowna, B.C./C.-B.","Executive Director",8624,15.12,,
59011,"Diana Cabott","Liberal","Libéral","Lake Country, B.C./C.-B.","Retired",8469,14.85,,
59011,"Angela Reid","Green Party","Parti Vert","Kelowna, B.C./C.-B.","Consultant",7821,13.71,,
59011,"Mark Haley","Communist","Communiste","Kelowna, B.C./C.-B.","Farmer",218,0.38,,
59012,"Jim Abbott","Conservative","Conservateur","Wasa, B.C./C.-B.","Parliamentarian",23402,59.59,14510,36.9
59012,"Leon R. Pendleton","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Edgewood, B.C./C.-B.","Farmer, Retired Paramedic",8892,22.64,,
59012,"Ralph Moore","Green Party","Parti Vert","Creston, B.C./C.-B.","Logger",3933,10.02,,
59012,"Betty Aitchison","Liberal","Libéral","Kimberley, B.C./C.-B.","Homemaker",3044,7.75,,
59013,"Mark Warawa","Conservative","Conservateur","Langley, B.C./C.-B.","Parliamentarian",32594,61.46,23696,44.7
59013,"Andrew Claxton","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Instructor - E.S.L.",8898,16.78,,
59013,"Jake Gray","Liberal","Libéral","Langley, B.C./C.-B.","Wind Power Developer",5888,11.1,,
59013,"Patrick Meyer","Green Party","Parti Vert","Langley, B.C./C.-B.","Sustainable Building Advisor",5059,9.54,,
59013,"Ron Gray","Christian Heritage Party","Parti de l'Héritage Chrétien","Langley, B.C./C.-B.","Political Party leader",594,1.12,,
59014,"James Lunney","Conservative","Conservateur","Errington, B.C./C.-B.","Chiropractor",28930,46.68,9250,14.9
59014,"Zeni Maartman","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Nanaimo, B.C./C.-B.","Insurance Manager - BCAA",19680,31.75,,
59014,"John Fryer","Green Party","Parti Vert","Victoria, B.C./C.-B.","Economist",7457,12.03,,
59014,"Richard Pesik","Liberal","Libéral","Port Alberni, B.C./C.-B.","Teacher",5578,9,,
59014,"Frank Wagner","Christian Heritage Party","Parti de l'Héritage Chrétien","Nanaimo, B.C./C.-B.","Foster Father",176,0.28,,
59014,"Barbara Biley","Marxist-Leninist","Marxiste-Léniniste","Courtenay, B.C./C.-B.","Health Care Worker",155,0.25,,
59015,"Jean Crowder","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Duncan, B.C./C.-B.","Consultant",27454,45.17,4610,7.6
59015,"Reed Elley","Conservative","Conservateur","Chemainus, B.C./C.-B.","Retired",22844,37.59,,
59015,"Christina Knighton","Green Party","Parti Vert","Nanaimo, B.C./C.-B.","Consultant",5816,9.57,,
59015,"Brian Scott","Liberal","Libéral","Cowichan Bay, B.C./C.-B.","Businessman",4483,7.38,,
59015,"Jack East","Marxist-Leninist","Marxiste-Léniniste","Campbell River, B.C./C.-B.","Retired Railway Worker",182,0.3,,
59016,"Sukh Dhaliwal","Liberal","Libéral","Surrey, B.C./C.-B.","Parliamentarian",16481,36.42,2493,5.5
59016,"Sandeep Pandher","Conservative","Conservateur","Delta, B.C./C.-B.","Environmental Consultant",13988,30.91,,
59016,"Teresa Townsley","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Delta, B.C./C.-B.","Vice-chair Board of Education Delta",11824,26.13,,
59016,"Liz Walker","Green Party","Parti Vert","Surrey, B.C./C.-B.","Retired",2533,5.6,,
59016,"James William Miller-Cousineau","Independent","Indépendant","Delta, B.C./C.-B.","Small Business Owner",179,0.4,,
59016,"John Shavluk","Independent","Indépendant","Delta, B.C./C.-B.","Marina Operator",126,0.28,,
59016,"Harjit Daudharia","Communist","Communiste","Surrey, B.C./C.-B.","Pensioner, Retired",121,0.27,,
59017,"Dawn Black","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","New Westminster, B.C./C.-B.","Parliamentarian",20787,41.83,1488,3
59017,"Yonah Martin","Conservative","Conservateur","Vancouver, B.C./C.-B.","Teacher",19299,38.84,,
59017,"Michelle Hassen","Liberal","Libéral","Port Moody, B.C./C.-B.","Department Manager, Not-for-profit",5615,11.3,,
59017,"Marshall Smith","Green Party","Parti Vert","New Westminster, B.C./C.-B.","Municipal Inspector",3574,7.19,,
59017,"Lewis C. Dahlby","Libertarian","Libertarien","Port Coquitlam, B.C./C.-B.","Business Owner",314,0.63,,
59017,"Roland Verrier","Marxist-Leninist","Marxiste-Léniniste","Coquitlam, B.C./C.-B.","Electrician",103,0.21,,
59019,"Andrew Saxton","Conservative","Conservateur","North Vancouver, B.C./C.-B.","Businessman",24371,42.26,2820,4.9
59019,"Don Bell","Liberal","Libéral","North Vancouver, B.C./C.-B.","Parliamentarian",21551,37.37,,
59019,"Jim Stephenson","Green Party","Parti Vert","Lions Bay, B.C./C.-B.","Business Consultant",6168,10.69,,
59019,"Michael Charrois","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","North Vancouver, B.C./C.-B.","Performer",5417,9.39,,
59019,"Tunya Audain","Libertarian","Libertarien","West Vancouver, B.C./C.-B.","Retired",166,0.29,,
59020,"Stockwell Day","Conservative","Conservateur","Kelowna, B.C./C.-B.","Parliamentarian",28765,58.13,20529,41.5
59020,"Ralph Poynting","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Merritt, B.C./C.-B.","Retired",8236,16.64,,
59020,"Dan Bouchard","Green Party","Parti Vert","Penticton, B.C./C.-B.","Community Liaison Coordinator",6603,13.34,,
59020,"Valerie Hallford","Liberal","Libéral","Kelowna, B.C./C.-B.","Community Activist",5883,11.89,,
59018,"Colin Mayes","Conservative","Conservateur","Salmon Arm, B.C./C.-B.","Businessman",28002,51.72,17338,32
59018,"Alice Brown","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Falkland, B.C./C.-B.","Electrician",10664,19.7,,
59018,"Huguette Allen","Green Party","Parti Vert","Lumby, B.C./C.-B.","Business Consultant",9368,17.3,,
59018,"Janna Francis","Liberal","Libéral","Vernon, B.C./C.-B.","Social Worker",5414,10,,
59018,"Gordie Campbell","No Affiliation","Aucune appartenance","Armstrong, B.C./C.-B.","Worker",416,0.77,,
59018,"Darren Seymour","CAP","PAC","Vernon, B.C./C.-B.","Businessman",278,0.51,,
59007,"Randy Kamp","Conservative","Conservateur","Maple Ridge, B.C./C.-B.","Parliamentarian",26512,51.81,9618,18.8
59007,"Mike Bocking","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Mission, B.C./C.-B.","Journalist",16894,33.01,,
59007,"Mike Gildersleeve","Green Party","Parti Vert","Maple Ridge, B.C./C.-B.","Social Worker",3833,7.49,,
59007,"Dan Olson","Liberal","Libéral","Maple Ridge, B.C./C.-B.","Project Manager",3394,6.63,,
59007,"Jeff Monds","Libertarian","Libertarien","Coquitlam, B.C./C.-B.","Retail Sales",300,0.59,,
59007,"Evans Nicholson","Independent","Indépendant","Abbotsford, B.C./C.-B.","Correctional Officer",137,0.27,,
59007,"Chum Richardson","Independent","Indépendant","Maple Ridge, B.C./C.-B.","Retired",101,0.2,,
59021,"James Moore","Conservative","Conservateur","Port Moody, B.C./C.-B.","Parliamentarian",25535,54.61,15117,32.3
59021,"Zoë Royer","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Port Moody, B.C./C.-B.","Dental Office Administrator",10418,22.28,,
59021,"Ron McKinnon","Liberal","Libéral","Port Coquitlam, B.C./C.-B.","Systems Analyst",6918,14.79,,
59021,"Rod Brindamour","Green Party","Parti Vert","Coquitlam, B.C./C.-B.","Business Analyst",3568,7.63,,
59021,"Rob Gillespie","Libertarian","Libertarien","Vancouver, B.C./C.-B.","Consultant",321,0.69,,
59022,"Jay Hill","Conservative","Conservateur","Fort St. John, B.C./C.-B.","Parliamentarian",22325,63.59,16155,46
59022,"Betty Bekkering","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Prince George, B.C./C.-B.","Retired",6170,17.58,,
59022,"Hilary Crowley","Green Party","Parti Vert","Summit Lake, B.C./C.-B.","Physiotherapist",3656,10.41,,
59022,"Lindsay Gidney","Liberal","Libéral","Chetwynd, B.C./C.-B.","Trainmaster",2954,8.41,,
59023,"Alice Wong","Conservative","Conservateur","Richmond, B.C./C.-B.","Educator",21359,49.81,8138,19
59023,"Raymond Chan","Liberal","Libéral","Richmond, B.C./C.-B.","Electrical Engineer",13221,30.83,,
59023,"Dale Jackaman","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Richmond, B.C./C.-B.","IT Security Professional",5059,11.8,,
59023,"Michael Anthony Wolfe","Green Party","Parti Vert","Richmond, B.C./C.-B.","Teacher",2753,6.42,,
59023,"Wei Ping Chen","Independent","Indépendant","Richmond, B.C./C.-B.","Realtor",395,0.92,,
59023,"Dobie Yiu-Chung To","Independent","Indépendant","Richmond, B.C./C.-B.","Unemployed",91,0.21,,
59024,"Gary Lunn","Conservative","Conservateur","North Saanich, B.C./C.-B.","Lawyer",27991,43.42,2625,4.1
59024,"Briony Penn","Liberal","Libéral","Salt Spring Island, B.C./C.-B.","Writer, Lecturer",25366,39.35,,
59024,"Andrew Lewis","Green Party","Parti Vert","Salt Spring Island, B.C./C.-B.","Landscape Contractor",6742,10.46,,
59024,"Julian West","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Saanich, B.C./C.-B.","College Instructor",3667,5.69,,
59024,"Dale P. Leier","Libertarian","Libertarien","Victoria, B.C./C.-B.","Businessman",246,0.38,,
59024,"Patricia O'Brien","WBP","WBP","Victoria, B.C./C.-B.","Registered Nurse",195,0.3,,
59024,"Jeremy Arney","CAP","PAC","Victoria, B.C./C.-B.","Semi-retired Truck Driver",139,0.22,,
59024,"Dan Moreau","Christian Heritage Party","Parti de l'Héritage Chrétien","Sidney, B.C./C.-B.","Environmental Health Officer",114,0.18,,
59025,"Nathan Cullen","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Smithers, B.C./C.-B.","Parliamentarian",17219,49.84,4658,13.5
59025,"Sharon Smith","Conservative","Conservateur","Houston, B.C./C.-B.","Mayor",12561,36.36,,
59025,"Corinna Morhart","Liberal","Libéral","Prince Rupert, B.C./C.-B.","Social Worker",1916,5.55,,
59025,"Hondo Arendt","Green Party","Parti Vert","Prince Rupert, B.C./C.-B.","College Instructor",1613,4.67,,
59025,"Rod Taylor","Christian Heritage Party","Parti de l'Héritage Chrétien","Smithers, B.C./C.-B.","Quality Control Supervisor",1125,3.26,,
59025,"Mary-Etta Goodacre","CAP","PAC","Smithers, B.C./C.-B.","Retired Teacher",112,0.32,,
59027,"Russ Hiebert","Conservative","Conservateur","Surrey, B.C./C.-B.","Parliamentarian",31216,56.65,19701,35.8
59027,"Judy Higginbotham","Liberal","Libéral","Surrey, B.C./C.-B.","Councillor",11515,20.9,,
59027,"Peter Prontzos","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","White Rock, B.C./C.-B.","College Instructor",7146,12.97,,
59027,"David Blair","Green Party","Parti Vert","Surrey, B.C./C.-B.","Manager, Director",4951,8.99,,
59027,"Brian Marlatt","PC Party","Parti PC","Surrey, B.C./C.-B.","Concession Services Manager",273,0.5,,
59028,"Dona Cadman","Conservative","Conservateur","Surrey, B.C./C.-B.","Retired",13714,39.37,1106,3.2
59028,"Rachid Arab","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Surrey, B.C./C.-B.","Quality Manager",12608,36.2,,
59028,"Marc Muhammad","Liberal","Libéral","Surrey, B.C./C.-B.","Self Employed",5227,15.01,,
59028,"Dan Kashagama","Green Party","Parti Vert","Surrey, B.C./C.-B.","Journalist",1925,5.53,,
59028,"Kevin Pielak","Christian Heritage Party","Parti de l'Héritage Chrétien","Surrey, B.C./C.-B.","Teacher",484,1.39,,
59028,"Alex Joehl","Libertarian","Libertarien","Surrey, B.C./C.-B.","Meat Cutter, Journalist",347,1,,
59028,"Bernadette Keenan","Independent","Indépendant","Surrey, B.C./C.-B.","Plan Reviewer",271,0.78,,
59028,"Nikolas Langlands","PC Party","Parti PC","Surrey, B.C./C.-B.","Manager",152,0.44,,
59028,"Psam Frank","CAP","PAC","Coquitlam, B.C./C.-B.","Musician",105,0.3,,
59029,"Hedy Fry","Liberal","Libéral","Vancouver, B.C./C.-B.","Parliamentarian",19506,34.51,5318,9.4
59029,"Lorne Mayencourt","Conservative","Conservateur","Vancouver, B.C./C.-B.","Parliamentarian",14188,25.1,,
59029,"Michael Byers","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Professor",12047,21.31,,
59029,"Adriane Carr","Green Party","Parti Vert","Vancouver, B.C./C.-B.","Political Organizer",10354,18.32,,
59029,"John Clarke","Libertarian","Libertarien","Burnaby, B.C./C.-B.","Warehouseman",340,0.6,,
59029,"Michael Hill","Marxist-Leninist","Marxiste-Léniniste","Vancouver, B.C./C.-B.","Warehouseman",94,0.17,,
59030,"Libby Davies","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Parliamentarian",22506,54.4,15379,37.2
59030,"Ken Low","Liberal","Libéral","Vancouver, B.C./C.-B.","Professional Engineer",7127,17.23,,
59030,"Ryan Warawa","Conservative","Conservateur","Burnaby, B.C./C.-B.","Payroll Administrator",6432,15.55,,
59030,"Mike Carr","Green Party","Parti Vert","Vancouver, B.C./C.-B.","University Instructor",4708,11.38,,
59030,"Betty Krawczyk","Work Less Party","Work Less Party","Vancouver, B.C./C.-B.","Writer",425,1.03,,
59030,"Anne Jamieson","Marxist-Leninist","Marxiste-Léniniste","Vancouver, B.C./C.-B.","Registered Nurse",171,0.41,,
59031,"John Duncan","Conservative","Conservateur","Campbell River, B.C./C.-B.","Consultant",25963,45.78,2497,4.4
59031,"Catherine Bell","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Cumberland, B.C./C.-B.","Parliamentarian",23466,41.38,,
59031,"Philip Stone","Green Party","Parti Vert","Quathiaski Cove, B.C./C.-B.","Publisher",4544,8.01,,
59031,"Geoff Fleischer","Liberal","Libéral","Comox, B.C./C.-B.","Student",2380,4.2,,
59031,"Jason Draper","Independent","Indépendant","Courtenay, B.C./C.-B.","Entrepreneur",362,0.64,,
59032,"Don Davies","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Lawyer",15933,35.18,2769,6.1
59032,"Wendy Yuan","Liberal","Libéral","Vancouver, B.C./C.-B.","Businesswoman",13164,29.06,,
59032,"Salomon Rayek","Conservative","Conservateur","Richmond, B.C./C.-B.","Businessman",12419,27.42,,
59032,"Doug Warkentin","Green Party","Parti Vert","Vancouver, B.C./C.-B.","Professional Engineer",3031,6.69,,
59032,"Matt Kadioglu","Libertarian","Libertarien","Vancouver, B.C./C.-B.","Realtor",309,0.68,,
59032,"Kimball Cariou","Communist","Communiste","Vancouver, B.C./C.-B.","Editor",291,0.64,,
59032,"Donna Petersen","Marxist-Leninist","Marxiste-Léniniste","Vancouver, B.C./C.-B.","Office Admin. Assistant",149,0.33,,
59033,"Joyce Murray","Liberal","Libéral","Vancouver, B.C./C.-B.","Parliamentarian",25393,45.59,4832,8.7
59033,"Deborah Meredith","Conservative","Conservateur","Vancouver, B.C./C.-B.","University Lecturer",20561,36.92,,
59033,"Dan Grice","Green Party","Parti Vert","Langley, B.C./C.-B.","Web Designer, Tech. Consultant",4916,8.83,,
59033,"David Caplan","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Freelance Writer",4493,8.07,,
59033,"Norris Barens","Libertarian","Libertarien","Surrey, B.C./C.-B.","First Aid Attendant",333,0.6,,
59034,"Ujjal Dosanjh","Liberal","Libéral","Vancouver, B.C./C.-B.","Lawyer",16110,38.49,20,0
59034,"Wai Young","Conservative","Conservateur","Vancouver, B.C./C.-B.","Small Business Owner",16090,38.44,,
59034,"Ann Chambers","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Vancouver, B.C./C.-B.","Community Health Worker",7376,17.62,,
59034,"Csaba Gulyas","Green Party","Parti Vert","Vancouver, B.C./C.-B.","IT and Audiovisual Consultant",2065,4.93,,
59034,"Charles Boylan","Marxist-Leninist","Marxiste-Léniniste","Vancouver, B.C./C.-B.","E.S.L. Instructor",211,0.5,,
59035,"Denise Savoie","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Victoria, B.C./C.-B.","Educator",26443,44.61,10106,17
59035,"Jack McClintock","Conservative","Conservateur","Victoria, B.C./C.-B.","Police Officer, Retired",16337,27.56,,
59035,"Anne Park Shannon","Liberal","Libéral","Victoria, B.C./C.-B.","Economic and Policy Consultant",10006,16.88,,
59035,"Adam Saab","Green Party","Parti Vert","Victoria, B.C./C.-B.","Carpenter",6252,10.55,,
59035,"John Cooper","Christian Heritage Party","Parti de l'Héritage Chrétien","Victoria, B.C./C.-B.","Physician",237,0.4,,
59036,"John Weston","Conservative","Conservateur","West Vancouver, B.C./C.-B.","Lawyer",26949,44.57,10880,18
59036,"Ian Sutherland","Liberal","Libéral","Squamish, B.C./C.-B.","Mayor of Squamish",16069,26.57,,
59036,"Bill Forst","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Gibsons, B.C./C.-B.","Retired Teacher",8728,14.43,,
59036,"Blair Wilson","Green Party","Parti Vert","West Vancouver, B.C./C.-B.","Parliamentarian",8723,14.43,,
60001,"Larry Bagnell","Liberal","Libéral","Whitehorse, Y.T./Yn","Parliamentarian",6715,45.8,1927,13.1
60001,"Darrell Pasloski","Conservative","Conservateur","Whitehorse, Y.T./Yn","Pharmacist, Businessman",4788,32.66,,
60001,"John Streicker","Green Party","Parti Vert","Marsh Lake, Y.T./Yn","Professional Engineer",1881,12.83,,
60001,"Ken Bolton","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Whitehorse, Y.T./Yn","Retired",1276,8.7,,
61001,"Dennis Bevington","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Fort Smith, N.W.T./T.N.-O.","Business Person",5669,41.45,523,3.8
61001,"Brendan Bell","Conservative","Conservateur","Yellowknife, N.W.T./T.N.-O.","Small business owner",5146,37.63,,
61001,"Gabrielle Mackenzie-Scott","Liberal","Libéral","Yellowknife, N.W.T./T.N.-O.","Self employed",1858,13.58,,
61001,"Sam Gamble","Green Party","Parti Vert","Yellowknife, N.W.T./T.N.-O.","Transportation Planner (GNWT)",752,5.5,,
61001,"Noeline Villebrun","FPNP","FPNP","Yellowknife, N.W.T./T.N.-O.","Self Employed",252,1.84,,
62001,"Leona Aglukkaq","Conservative","Conservateur","Iqaluit, Nun./Nt","Manager",2815,34.92,466,5.8
62001,"Kirt Kootoo Ejesiak","Liberal","Libéral","Iqaluit, Nun./Nt","Businessman",2349,29.14,,
62001,"Paul Irngaut","NDP-New Democratic Party","NPD-Nouveau Parti démocratique","Iqaluit, Nun./Nt","Wildlife Advisor",2228,27.64,,
62001,"Peter Ittinuar","Green Party","Parti Vert","Brantford, Ont.","Negotiator",669,8.3,,
